,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_max_iter,param_penalty,param_solver,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
25,10355.02462387085,0.0,0.19222211837768555,0.0,10,10000,,sag,"{'C': 10, 'max_iter': 10000, 'penalty': None, 'solver': 'sag'}",0.9427166666666666,0.9427166666666666,0.0,15
26,8866.172965765,0.0,0.12548613548278809,0.0,10,10000,,saga,"{'C': 10, 'max_iter': 10000, 'penalty': None, 'solver': 'saga'}",0.9421666666666667,0.9421666666666667,0.0,26
27,806.2654640674591,0.0,0.10710287094116211,0.0,10,10000,l2,lbfgs,"{'C': 10, 'max_iter': 10000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.9445333333333333,0.9445333333333333,0.0,9
28,11070.107276916504,0.0,0.07673311233520508,0.0,10,10000,l2,sag,"{'C': 10, 'max_iter': 10000, 'penalty': 'l2', 'solver': 'sag'}",0.9427333333333333,0.9427333333333333,0.0,13
29,11276.437258958817,0.0,0.07908296585083008,0.0,10,10000,l2,saga,"{'C': 10, 'max_iter': 10000, 'penalty': 'l2', 'solver': 'saga'}",0.9421666666666667,0.9421666666666667,0.0,26
30,681.3586461544037,0.0,0.06331801414489746,0.0,100,10000,,lbfgs,"{'C': 100, 'max_iter': 10000, 'penalty': None, 'solver': 'lbfgs'}",0.9445833333333333,0.9445833333333333,0.0,3
31,53846.38985681534,0.0,0.0698549747467041,0.0,100,10000,,sag,"{'C': 100, 'max_iter': 10000, 'penalty': None, 'solver': 'sag'}",0.9427166666666666,0.9427166666666666,0.0,15
32,19317.413161039352,0.0,0.07885169982910156,0.0,100,10000,,saga,"{'C': 100, 'max_iter': 10000, 'penalty': None, 'solver': 'saga'}",0.9421666666666667,0.9421666666666667,0.0,26
33,978.2911238670349,0.0,0.08661723136901855,0.0,100,10000,l2,lbfgs,"{'C': 100, 'max_iter': 10000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.94445,0.94445,0.0,11
34,34245.02902817726,0.0,0.0709378719329834,0.0,100,10000,l2,sag,"{'C': 100, 'max_iter': 10000, 'penalty': 'l2', 'solver': 'sag'}",0.9427166666666666,0.9427166666666666,0.0,15
35,44255.66349387169,0.0,0.07290792465209961,0.0,100,10000,l2,saga,"{'C': 100, 'max_iter': 10000, 'penalty': 'l2', 'solver': 'saga'}",0.9421833333333334,0.9421833333333334,0.0,24
